,GENE_ID,GENE,Chr
245,ENSG00000212855,TTTY2,Y
246,ENSG00000237968,,Y
247,ENSG00000233699,TTTY18,Y
248,ENSG00000286009,,Y
249,ENSG00000271365,,Y
250,ENSG00000259029,DUX4L18,Y
251,ENSG00000226223,TSPY16P,Y
252,ENSG00000235895,,Y
253,ENSG00000286201,,Y
254,ENSG00000223744,RBMY2GP,Y
255,ENSG00000215537,ZNF736P11Y,Y
256,ENSG00000230476,OFD1P9Y,Y
257,ENSG00000225840,,Y
258,ENSG00000229745,BPY2DP,Y
259,ENSG00000227204,RBMY2JP,Y
260,ENSG00000275828,CHEK2P1,Y
261,ENSG00000232617,,Y
262,ENSG00000225615,RBMY2UP,Y
263,ENSG00000230663,FAM224B,Y
264,ENSG00000232522,ZNF886P,Y
265,ENSG00000234131,ELOCP8,Y
266,ENSG00000277519,OFD1P16Y,Y
267,ENSG00000259247,TTTY25P,Y
268,ENSG00000224336,FAM197Y1,Y
269,ENSG00000273731,,Y
270,ENSG00000236951,,Y
271,ENSG00000215583,ASS1P6,Y
272,ENSG00000274162,SNX18P1Y,Y
273,ENSG00000229208,RBMY2NP,Y
274,ENSG00000129845,TTTY1,Y
275,ENSG00000227444,,Y
276,ENSG00000233774,MED14P1,Y
277,ENSG00000232475,HSFY5P,Y
278,ENSG00000228764,ZNF885P,Y
279,ENSG00000232226,ARSFP1,Y
280,ENSG00000224567,,Y
281,ENSG00000241200,ZNF736P7Y,Y
282,ENSG00000228518,SURF6P1,Y
283,ENSG00000227447,XGY1,Y
284,ENSG00000274231,,Y
285,ENSG00000286050,,Y
286,ENSG00000274502,ANKRD20A6P,Y
287,ENSG00000235094,,Y
288,ENSG00000278854,,Y
289,ENSG00000183385,TTTY8,Y
290,ENSG00000225809,RBMY2KP,Y
291,ENSG00000237902,TSPY21P,Y
292,ENSG00000232419,TTTY19,Y
293,ENSG00000232620,TSPY17P,Y
294,ENSG00000226906,TTTY4,Y
295,ENSG00000230025,,Y
296,ENSG00000236786,TSPY15P,Y
297,ENSG00000224075,TTTY22,Y
298,ENSG00000238235,TSPY11P,Y
299,ENSG00000274445,,Y
300,ENSG00000235649,MXRA5Y,Y
301,ENSG00000258567,DUX4L16,Y
302,ENSG00000236424,TSPY10,Y
303,ENSG00000282467,,HG1651_PATCH
304,ENSG00000234179,MTCYBP1,Y
305,ENSG00000271309,,Y
306,ENSG00000229553,USP9YP17,Y
307,ENSG00000228240,TTTY17A,Y
308,ENSG00000234652,AGPAT5P1,Y
309,ENSG00000218410,,Y
310,ENSG00000243643,TSPY20P,Y
311,ENSG00000224989,FAM41AY1,Y
312,ENSG00000131548,TTTY6B,Y
313,ENSG00000232029,ELOCP15,Y
314,ENSG00000273858,,Y
315,ENSG00000227830,TRIM60P3Y,Y
316,ENSG00000226529,MTND1P1,Y
317,ENSG00000229643,LINC00280,Y
318,ENSG00000274837,,Y
319,ENSG00000216777,PRRC2CP1,Y
320,ENSG00000216824,ZNF736P10Y,Y
321,ENSG00000275352,,Y
322,ENSG00000276829,,Y
323,ENSG00000258992,TSPY1,Y
324,ENSG00000228850,CDY12P,Y
325,ENSG00000283076,,Y
326,ENSG00000234850,MTND2P3,Y
327,ENSG00000224873,CDY13P,Y
328,ENSG00000229234,RBMY1KP,Y
329,ENSG00000270570,,Y
330,ENSG00000237563,TTTY21B,Y
331,ENSG00000223517,,Y
332,ENSG00000228207,,Y
333,ENSG00000224917,,Y
334,ENSG00000286187,,Y
335,ENSG00000225117,ARSDP1,Y
336,ENSG00000215560,TTTY5,Y
337,ENSG00000228411,CDY4P,Y
338,ENSG00000235059,,Y
339,ENSG00000244395,RBMY1D,Y
340,ENSG00000284255,OR4C12,HG1708_PATCH
341,ENSG00000284278,OR4C48P,HG1708_PATCH
342,ENSG00000292249,OR4C45,HG1708_PATCH
343,ENSG00000284123,OR4C49P,HG1708_PATCH
344,ENSG00000230727,RBMY2WP,Y
345,ENSG00000230814,USP9YP24,Y
346,ENSG00000229725,,Y
347,ENSG00000229236,TTTY10,Y
348,ENSG00000229518,UBE2V1P3,Y
349,ENSG00000232730,FAM8A4P,Y
350,ENSG00000229308,,Y
351,ENSG00000244000,,Y
352,ENSG00000232764,TRIM60P8Y,Y
353,ENSG00000236131,MED13P1,Y
354,ENSG00000270073,TSPY6P,Y
355,ENSG00000227949,CYCSP46,Y
356,ENSG00000252900,RNU6-303P,Y
357,ENSG00000251766,RNA5SP518,Y
358,ENSG00000252689,,Y
359,ENSG00000243980,RN7SL702P,Y
360,ENSG00000252315,RNA5SP520,Y
361,ENSG00000252012,RNA5SP521,Y
362,ENSG00000273966,,Y
363,ENSG00000252173,RNU6-109P,Y
364,ENSG00000251705,RNA5-8SP6,Y
365,ENSG00000252289,RNA5SP519,Y
366,ENSG00000252323,RNU6-184P,Y
367,ENSG00000169953,HSFY2,Y
368,ENSG00000236429,GPM6BP2,Y
369,ENSG00000249501,USP9YP2,Y
370,ENSG00000228193,ELOCP14,Y
371,ENSG00000248573,PRYP6,Y
372,ENSG00000230904,XKRYP2,Y
373,ENSG00000238135,USP9YP10,Y
374,ENSG00000224151,USP9YP28,Y
375,ENSG00000251970,RNU1-41P,Y
376,ENSG00000238088,OFD1P7Y,Y
377,ENSG00000217179,MTCYBP2,Y
378,ENSG00000217896,ZNF839P1,Y
379,ENSG00000185275,CD24P4,Y
380,ENSG00000252766,RNU6-255P,Y
381,ENSG00000274282,,Y
382,ENSG00000234529,GAPDHP19,Y
383,ENSG00000238191,CLUHP1,Y
384,ENSG00000226353,TAF9P1,Y
385,ENSG00000275578,,Y
386,ENSG00000226449,CDY5P,Y
387,ENSG00000225896,ELOCP36,Y
388,ENSG00000224166,PRYP1,Y
389,ENSG00000229129,ACTG1P2,Y
390,ENSG00000223555,USP9YP23,Y
391,ENSG00000235521,USP9YP27,Y
392,ENSG00000252513,RNU1-128P,Y
393,ENSG00000224964,TRAPPC2P3,Y
394,ENSG00000226011,OFD1P1Y,Y
395,ENSG00000225740,ELOCP6,Y
396,ENSG00000229138,CDY6P,Y
397,ENSG00000224485,USP9YP7,Y
398,ENSG00000226116,USP9YP6,Y
399,ENSG00000237558,CDY7P,Y
400,ENSG00000233378,USP9YP34,Y
401,ENSG00000237616,USP9YP32,Y
402,ENSG00000224033,CDY8P,Y
403,ENSG00000230412,ELOCP12,Y
404,ENSG00000225895,TRAPPC2P8,Y
405,ENSG00000233120,USP9YP15,Y
406,ENSG00000252166,RNU1-95P,Y
407,ENSG00000232744,USP9YP16,Y
408,ENSG00000229465,ACTG1P11,Y
409,ENSG00000231311,PRYP2,Y
410,ENSG00000236599,ELOCP26,Y
411,ENSG00000232899,CDY9P,Y
412,ENSG00000229302,TAF9P2,Y
413,ENSG00000228945,CLUHP2,Y
414,ENSG00000233522,FAM224A,Y
415,ENSG00000278391,,Y
416,ENSG00000251953,RNA5SP522,Y
417,ENSG00000252667,RNA5SP523,Y
418,ENSG00000249726,TUBB1P1,Y
419,ENSG00000226362,FAM41AY2,Y
420,ENSG00000225716,ELOCP13,Y
421,ENSG00000229406,OFD1P4Y,Y
422,ENSG00000227494,USP9YP14,Y
423,ENSG00000252209,RNU1-48P,Y
424,ENSG00000249634,USP9YP5,Y
425,ENSG00000251510,,Y
426,ENSG00000238067,XKRYP1,Y
427,ENSG00000233546,PRYP5,Y
428,ENSG00000230377,ELOCP7,Y
429,ENSG00000250951,USP9YP1,Y
430,ENSG00000230458,GPM6BP1,Y
431,ENSG00000131007,TTTY9B,Y
432,ENSG00000235479,RAB9AP4,Y
433,ENSG00000249606,TRAPPC2P7,Y
434,ENSG00000176728,TTTY14,Y
435,ENSG00000267793,,Y
436,ENSG00000260197,,Y
437,ENSG00000288049,,Y
438,ENSG00000012817,KDM5D,Y
439,ENSG00000284767,MIR3649,HG1815_PATCH
440,ENSG00000285070,ADIPOR2,HG1815_PATCH
441,ENSG00000285310,,HG1815_PATCH
442,ENSG00000285682,,HG1815_PATCH
443,ENSG00000284817,RPS4XP14,HG1815_PATCH
444,ENSG00000284953,CACNA2D4,HG1815_PATCH
445,ENSG00000286298,,HG1815_PATCH
446,ENSG00000285383,LRTM2,HG1815_PATCH
447,ENSG00000285149,,HG1815_PATCH
448,ENSG00000285233,LINC00940,HG1815_PATCH
449,ENSG00000284850,DCP1B,HG1815_PATCH
450,ENSG00000285355,,HG1815_PATCH
451,ENSG00000285291,CACNA1C-IT1,HG1815_PATCH
452,ENSG00000285324,,HG1815_PATCH
453,ENSG00000285107,CACNA1C-AS4,HG1815_PATCH
454,ENSG00000284775,CACNA1C-IT3,HG1815_PATCH
455,ENSG00000285924,,HG1815_PATCH
456,ENSG00000172468,HSFY1,Y
457,ENSG00000285983,,HG1815_PATCH
458,ENSG00000284942,CACNA1C-AS3,HG1815_PATCH
459,ENSG00000284759,,HG1815_PATCH
460,ENSG00000285101,CACNA1C-AS2,HG1815_PATCH
461,ENSG00000285335,CACNA1C-AS1,HG1815_PATCH
462,ENSG00000176679,TGIF2LY,Y
463,ENSG00000169800,RBMY1F,Y
464,ENSG00000285479,CACNA1C,HG1815_PATCH
465,ENSG00000182415,CDY2A,Y
466,ENSG00000233126,ZNF736P3Y,Y
467,ENSG00000227251,TRIM60P9Y,Y
468,ENSG00000099725,PRKY,Y
469,ENSG00000252633,RN7SKP282,Y
470,ENSG00000251996,,Y
471,ENSG00000252155,RNU6-941P,Y
472,ENSG00000252472,RNU6-521P,Y
473,ENSG00000224953,SRIP3,Y
474,ENSG00000274365,,Y
475,ENSG00000233634,GOT2P5,Y
476,ENSG00000237701,ATP5PFP1,Y
477,ENSG00000273906,,Y
478,ENSG00000232976,TRIM60P10Y,Y
479,ENSG00000226270,ZNF736P2Y,Y
480,ENSG00000227837,TRIM60P11Y,Y
481,ENSG00000278602,,Y
482,ENSG00000223978,ZNF736P1Y,Y
483,ENSG00000278197,,Y
484,ENSG00000230819,ZNF736P5Y,Y
485,ENSG00000185894,BPY2C,Y
486,ENSG00000228296,TTTY4C,Y
487,ENSG00000205916,DAZ4,Y
488,ENSG00000129873,CDY2B,Y
489,ENSG00000251841,RNU6-1334P,Y
490,ENSG00000184895,SRY,Y
491,ENSG00000237659,RNASEH2CP1,Y
492,ENSG00000232195,TOMM22P2,Y
493,ENSG00000286130,,Y
494,ENSG00000129824,RPS4Y1,Y
495,ENSG00000229163,NAP1L1P2,Y
496,ENSG00000278847,,Y
497,ENSG00000067646,ZFY,Y
498,ENSG00000233070,ZFY-AS1,Y
499,ENSG00000223600,EEF1A1P41,Y
500,ENSG00000215414,PSMA6P1,Y
501,ENSG00000224035,SFPQP1,Y
502,ENSG00000223915,DPPA2P1,Y
503,ENSG00000067048,DDX3Y,Y
504,ENSG00000280963,SERTAD4-AS1,HG1832_PATCH
505,ENSG00000281230,SERTAD4,HG1832_PATCH
506,ENSG00000281067,ST13P19,HG1832_PATCH
507,ENSG00000281552,,HG1832_PATCH
508,ENSG00000280680,HHAT,HG1832_PATCH
509,ENSG00000287371,,HG1832_PATCH
510,ENSG00000281499,RNU5A-8P,HG1832_PATCH
511,ENSG00000287648,,HG1832_PATCH
512,ENSG00000280937,BPNT2P1,HG1832_PATCH
513,ENSG00000234059,CASKP1,Y
514,ENSG00000183878,UTY,Y
515,ENSG00000154620,TMSB4Y,Y
516,ENSG00000129864,VCY,Y
517,ENSG00000187191,DAZ3,Y
518,ENSG00000188120,DAZ1,Y
519,ENSG00000285111,,HG1_PATCH
520,ENSG00000284831,BRD7P1,HG1_PATCH
521,ENSG00000285274,,HG1_PATCH
522,ENSG00000284911,RN7SKP205,HG1_PATCH
523,ENSG00000284904,,HG1_PATCH
524,ENSG00000285965,,HG1_PATCH
525,ENSG00000285289,LINC00596,HG1_PATCH
526,ENSG00000285282,DHRS4-AS1,HG1_PATCH
527,ENSG00000286673,,HG1_PATCH
528,ENSG00000290630,,HG1_PATCH
529,ENSG00000285036,DHRS4L1,HG1_PATCH
530,ENSG00000284765,CARMIL3,HG1_PATCH
531,ENSG00000205936,PPP1R12BP2,Y
532,ENSG00000251925,,Y
533,ENSG00000286744,,Y
534,ENSG00000225189,REREP1Y,Y
535,ENSG00000230073,,Y
536,ENSG00000215540,RBMY2CP,Y
537,ENSG00000236647,,Y
538,ENSG00000099721,AMELY,Y
539,ENSG00000285221,CPNE6,HG1_PATCH
540,ENSG00000092377,TBL1Y,Y
541,ENSG00000285493,NRL,HG1_PATCH
542,ENSG00000285241,PCK2,HG1_PATCH
543,ENSG00000284796,DCAF11,HG1_PATCH
544,ENSG00000232583,GPR143P,Y
545,ENSG00000205944,DAZ2,Y
546,ENSG00000284818,,HG1_PATCH
547,ENSG00000285321,FITM1,HG1_PATCH
548,ENSG00000284916,PSME1,HG1_PATCH
549,ENSG00000285377,EMC9,HG1_PATCH
550,ENSG00000285298,,HG1_PATCH
551,ENSG00000284889,PSME2,HG1_PATCH
552,ENSG00000285146,MIR7703,HG1_PATCH
553,ENSG00000285152,RNF31,HG1_PATCH
554,ENSG00000284845,,HG1_PATCH
555,ENSG00000285306,RNA5SP383,HG1_PATCH
556,ENSG00000168757,TSPY2,Y
557,ENSG00000285048,IRF9,HG1_PATCH
558,ENSG00000285007,REC8,HG1_PATCH
559,ENSG00000226555,AGKP1,Y
560,ENSG00000228787,NLGN4Y-AS1,Y
561,ENSG00000242389,RBMY1E,Y
562,ENSG00000285248,IPO4,HG1_PATCH
563,ENSG00000285125,,HG1_PATCH
564,ENSG00000287341,,HG1_PATCH
565,ENSG00000285465,TM9SF1,HG1_PATCH
566,ENSG00000165246,NLGN4Y,Y
567,ENSG00000285502,,HG1_PATCH
568,ENSG00000284802,,HG1_PATCH
569,ENSG00000285309,,HG1_PATCH
570,ENSG00000285140,TSSK4,HG1_PATCH
571,ENSG00000285302,CHMP4A,HG1_PATCH
572,ENSG00000285296,,HG1_PATCH
573,ENSG00000285200,MDP1,HG1_PATCH
574,ENSG00000285425,NEDD8-MDP1,HG1_PATCH
575,ENSG00000231535,LINC00278,Y
576,ENSG00000285246,NEDD8,HG1_PATCH
577,ENSG00000229343,CDY22P,Y
578,ENSG00000232695,ELOCP17,Y
579,ENSG00000235511,OFD1P18Y,Y
580,ENSG00000232914,TRAPPC2P4,Y
581,ENSG00000223655,RAB9AP3,Y
582,ENSG00000230854,USP9YP20,Y
583,ENSG00000252625,RNU1-40P,Y
584,ENSG00000227635,USP9YP21,Y
585,ENSG00000237546,XKRYP6,Y
586,ENSG00000284752,GMPR2,HG1_PATCH
587,ENSG00000172283,PRYP4,Y
588,ENSG00000227867,ELOCP11,Y
589,ENSG00000231716,CDY23P,Y
590,ENSG00000234744,USP9YP26,Y
591,ENSG00000233156,HSFY8P,Y
592,ENSG00000234888,OFD1P15Y,Y
593,ENSG00000215507,RBMY2DP,Y
594,ENSG00000235014,REREP2Y,Y
595,ENSG00000289705,,Y
596,ENSG00000225876,,Y
597,ENSG00000251796,,Y
598,ENSG00000229238,PPP1R12BP1,Y
599,ENSG00000252948,RNU6-1314P,Y
600,ENSG00000233843,CYCSP48,Y
601,ENSG00000188399,ANKRD36P1,Y
602,ENSG00000277146,,Y
603,ENSG00000129862,VCY1B,Y
604,ENSG00000235451,PNPLA4P1,Y
605,ENSG00000289706,,Y
606,ENSG00000226611,OFD1P2Y,Y
607,ENSG00000240438,OFD1P5Y,Y
608,ENSG00000286247,,Y
609,ENSG00000225624,TBL1YP1,Y
610,ENSG00000284915,TINF2,HG1_PATCH
611,ENSG00000280969,RPS4Y2,Y
612,ENSG00000224482,HSFY4P,Y
613,ENSG00000216844,,Y
614,ENSG00000229551,GAPDHP17,Y
615,ENSG00000226504,TMEM167AP1,Y
616,ENSG00000254488,,Y
617,ENSG00000237427,TOMM22P1,Y
618,ENSG00000289707,,Y
619,ENSG00000232634,NEFLP1,Y
620,ENSG00000226918,,Y
621,ENSG00000285348,TGM1,HG1_PATCH
622,ENSG00000183146,PRORY,Y
623,ENSG00000236615,,Y
624,ENSG00000288057,,Y
625,ENSG00000237269,RBMY2TP,Y
626,ENSG00000169849,TSPY14P,Y
627,ENSG00000169811,RBMY1HP,Y
628,ENSG00000242393,,Y
629,ENSG00000228257,,Y
630,ENSG00000184991,TTTY13,Y
