MOLTID,TITLE,MOLTNBR,PANELNBR,CELLNBR,pname,cellname,VALUE,STD DEV
MT15787,"Isobar 35 includes D-arabinose 5-phosphate, D-ribulose 5-phosphate, alpha-D-ribose-5-phosphate",371700,1,1,NSCLC,NCI-H23,0.888,0.347
MT15788,"Isobar 36 includes D-sorbitol 6-phosphate, mannitol-1-phosphate",371701,1,1,NSCLC,NCI-H23,0.447,0.715
MT15789,"Isobar 37 includes mannitol, dulcitol",371702,1,1,NSCLC,NCI-H23,0.558,0.511
MT15790,"Isobar 39 includes N-acetyl-D-glucosamine-6-phosphate, N-acetyl-alpha-D-glucosamine 1-phosphate",371703,1,1,NSCLC,NCI-H23,1.088,0.411
MT15791,"Isobar 4 includes Gluconic acid, DL-arabinose, D-ribose, L-xylose, DL-lyxose, D-xylulose",371704,1,1,NSCLC,NCI-H23,2.425,0.852
MT15792,"Isobar 6 includes valine, betaine",371705,1,1,NSCLC,NCI-H23,0.933,0.169
MT15793,"Isobar 9 includes sucrose, beta-D-lactose, D-trehalose, D-cellobiose, D-Maltose, palatinose, melibiose, alpha-D-lactose",371706,1,1,NSCLC,NCI-H23,0.112,0.112
MT15794,isoleucine,371707,1,1,NSCLC,NCI-H23,1.666,0.174
MT15795,Kynurenic acid,371708,1,1,NSCLC,NCI-H23,0.864,0.118
MT15796,lactate,371709,1,1,NSCLC,NCI-H23,1.361,0.328
MT15797,L-allo-threonine,371710,1,1,NSCLC,NCI-H23,1.104,0.043
MT15798,L-alpha-glycerophosphorylcholine,371711,1,1,NSCLC,NCI-H23,0.157,0.07
MT15799,L-arabitol,371712,1,1,NSCLC,NCI-H23,0.37,0.204
MT15800,L-beta-imidazolelactic acid,371713,1,1,NSCLC,NCI-H23,0.999,0.358
MT15801,leucine,371714,1,1,NSCLC,NCI-H23,1.011,0.136
MT15802,malic acid,371715,1,1,NSCLC,NCI-H23,5.33,1.369
MT15803,malonic acid,371716,1,1,NSCLC,NCI-H23,0.45,0.5
MT15804,mannose,371717,1,1,NSCLC,NCI-H23,0.085,0
MT15805,mannose-6-phosphate,371718,1,1,NSCLC,NCI-H23,0.186,0.127
MT15806,melatonin,371719,1,1,NSCLC,NCI-H23,0.467,0.462
MT15807,methionine,371720,1,1,NSCLC,NCI-H23,0.911,0.186
MT15808,N(5)-(aminocarbonyl)-L-ornithine,371721,1,1,NSCLC,NCI-H23,0.734,0.157
MT15809,N('6)-trimethyl-l-lysine,371722,1,1,NSCLC,NCI-H23,0.225,0.306
MT15810,"N,N-dimethylarginine",371723,1,1,NSCLC,NCI-H23,1.054,0.328
MT15811,N-acetyl-D-galactosamine,371724,1,1,NSCLC,NCI-H23,1.633,1.804
MT15812,N-acetylneuraminic acid,371725,1,1,NSCLC,NCI-H23,0.91,0.105
MT15813,n-dodecanoate,371726,1,1,NSCLC,NCI-H23,1.174,0.461
MT15814,N-formyl-L-methionine,371727,1,1,NSCLC,NCI-H23,0.29,0
MT15815,n-hexadecanoic acid,371728,1,1,NSCLC,NCI-H23,1.064,0.048
MT15816,niacinamide,371729,1,1,NSCLC,NCI-H23,2.919,0.882
MT15817,octopamine,371730,1,1,NSCLC,NCI-H23,0.113,0
MT15818,oleic acid,371731,1,1,NSCLC,NCI-H23,0.599,0.38
MT15819,ornithine,371732,1,1,NSCLC,NCI-H23,1.954,0.622
MT15820,orotidine 5'-phosphate,371733,1,1,NSCLC,NCI-H23,4.029,0.801
MT15821,oxitryptan,371734,1,1,NSCLC,NCI-H23,0.292,0
MT15822,palmitoleic acid,371735,1,1,NSCLC,NCI-H23,1.712,0.145
MT15823,pantothenic acid,371736,1,1,NSCLC,NCI-H23,9.255,0.712
MT15824,phenylalanine,371737,1,1,NSCLC,NCI-H23,0.752,0.157
MT15825,phosphate,371738,1,1,NSCLC,NCI-H23,1.013,0.051
MT15826,phosphoenolpyruvate,371739,1,1,NSCLC,NCI-H23,3.128,0.884
MT15827,picolinic acid,371740,1,1,NSCLC,NCI-H23,0.387,0.229
MT15828,porphobilinogen,371741,1,1,NSCLC,NCI-H23,0.252,0
MT15829,Possible Artifact-2336 (RI Ladder),371742,1,1,NSCLC,NCI-H23,1.001,0.05
MT15830,proline,371743,1,1,NSCLC,NCI-H23,3.481,0.263
MT15831,Putrescine,371744,1,1,NSCLC,NCI-H23,7.456,2.23
MT15832,pyridoxal,371745,1,1,NSCLC,NCI-H23,0.481,0
MT15833,pyrophosphate,371746,1,1,NSCLC,NCI-H23,0.007,0
MT15834,quinolinic acid,371747,1,1,NSCLC,NCI-H23,0.349,0
MT15835,ribulose-5-phosphate,371748,1,1,NSCLC,NCI-H23,0.083,0
MT15836,S-(5'-adenosyl)-L-methionine,371749,1,1,NSCLC,NCI-H23,2.377,0.554
MT15837,S-adenosyl-l-homocysteine,371750,1,1,NSCLC,NCI-H23,1.078,0.231
MT15838,serine,371751,1,1,NSCLC,NCI-H23,0.463,0.099
MT15839,sn-Glycerol 3-phosphate,371752,1,1,NSCLC,NCI-H23,0.225,0.018
MT15840,sorbitol,371753,1,1,NSCLC,NCI-H23,0.895,0.399
MT15841,Spermidine,371754,1,1,NSCLC,NCI-H23,0.777,0.642
MT15842,succinate,371755,1,1,NSCLC,NCI-H23,5.367,1.12
MT15843,tartaric acid,371756,1,1,NSCLC,NCI-H23,0.5,0
MT15844,taurine,371757,1,1,NSCLC,NCI-H23,0.982,0.078
MT15845,tetradecanoic acid,371758,1,1,NSCLC,NCI-H23,1.107,0.242
MT15846,threonine,371759,1,1,NSCLC,NCI-H23,1.23,0.092
MT15847,trans-11-eicosenoic acid,371760,1,1,NSCLC,NCI-H23,0.458,0.47
MT15848,trans-4-hydroxyproline,371761,1,1,NSCLC,NCI-H23,6.322,0.081
MT15849,trehalose 6-phosphate,371762,1,1,NSCLC,NCI-H23,0.362,0.312
MT15850,tryptophan,371763,1,1,NSCLC,NCI-H23,1.165,0.136
MT15851,tyramine,371764,1,1,NSCLC,NCI-H23,0.917,0.053
MT15852,tyrosine,371765,1,1,NSCLC,NCI-H23,0.739,0.1
MT15853,uracil,371766,1,1,NSCLC,NCI-H23,1.083,0.384
MT15854,urea,371767,1,1,NSCLC,NCI-H23,1.131,0.113
MT15855,uric acid,371768,1,1,NSCLC,NCI-H23,0.676,0.42
MT15856,uridine,371769,1,1,NSCLC,NCI-H23,1.136,0.339
MT15857,uridine diphosphate-N-acetylmuraminic acid,371770,1,1,NSCLC,NCI-H23,1.038,0.094
MT15858,valine,371771,1,1,NSCLC,NCI-H23,0.804,0.087
MT15859,"X-1085 - possible isolobinine or 4-aminoestra-1,3,5(10)-triene-3,17beta-diol",371772,1,1,NSCLC,NCI-H23,1.113,0.483
MT15860,X-1086,371773,1,1,NSCLC,NCI-H23,0.068,0
MT15861,X-1104,371774,1,1,NSCLC,NCI-H23,0.632,0.145
MT15862,X-1107,371775,1,1,NSCLC,NCI-H23,0.406,0
MT15863,X-1111 - possible methylnitronitrosoguanidine or ethyl thiocarbamoylacetate,371776,1,1,NSCLC,NCI-H23,0.708,0.054
MT15864,X-1113 - possible acetylcarnitine,371777,1,1,NSCLC,NCI-H23,0.977,0.279
MT15865,X-1114,371778,1,1,NSCLC,NCI-H23,0.904,1.416
MT15866,X-1122,371779,1,1,NSCLC,NCI-H23,0.466,0
MT15867,X-1126,371780,1,1,NSCLC,NCI-H23,0.405,0.259
MT15868,X-1129,371781,1,1,NSCLC,NCI-H23,0.177,0
MT15869,X-1130,371782,1,1,NSCLC,NCI-H23,0.432,0
MT15870,X-1213,371783,1,1,NSCLC,NCI-H23,0.214,0
MT15871,X-1288,371784,1,1,NSCLC,NCI-H23,0.026,0
MT15872,X-1330,371785,1,1,NSCLC,NCI-H23,0.236,0
MT15873,X-1391,371786,1,1,NSCLC,NCI-H23,0.208,0
MT15874,X-1455,371787,1,1,NSCLC,NCI-H23,0.264,0.417
MT15875,X-1461,371788,1,1,NSCLC,NCI-H23,0.437,0
MT15876,X-1465,371789,1,1,NSCLC,NCI-H23,1.265,0.154
MT15877,X-1468,371790,1,1,NSCLC,NCI-H23,2.798,1.554
MT15878,X-1496,371791,1,1,NSCLC,NCI-H23,1.392,0.287
MT15879,X-1497,371792,1,1,NSCLC,NCI-H23,0.95,0.048
MT15880,X-1498,371793,1,1,NSCLC,NCI-H23,1.299,0.244
MT15881,X-1573,371794,1,1,NSCLC,NCI-H23,1.074,1.702
MT15882,X-1575,371795,1,1,NSCLC,NCI-H23,0.107,0
MT15883,X-1593,371796,1,1,NSCLC,NCI-H23,0.578,0.332
MT15884,X-1595 - possible glutathione metabolite,371797,1,1,NSCLC,NCI-H23,1.266,0.783
MT15885,X-1597,371798,1,1,NSCLC,NCI-H23,1.073,0.346
MT15886,X-1609,371799,1,1,NSCLC,NCI-H23,4.102,0.694
MT15887,X-1612,371800,1,1,NSCLC,NCI-H23,0.239,0
MT15888,X-1616,371801,1,1,NSCLC,NCI-H23,0.899,0.28
MT15889,X-1656,371802,1,1,NSCLC,NCI-H23,0.544,0.398
MT15890,X-1677,371803,1,1,NSCLC,NCI-H23,1.177,0.434
MT15891,X-1713,371804,1,1,NSCLC,NCI-H23,17.361,0.137
MT15892,X-1733,371805,1,1,NSCLC,NCI-H23,0.477,0
MT15893,X-1736 - retired - p-hydroxybenzaldehyde,371806,1,1,NSCLC,NCI-H23,1.089,0.063
MT15894,X-1819,371807,1,1,NSCLC,NCI-H23,0.94,0.882
MT15895,X-1843 - retired pieces of X-7147,371808,1,1,NSCLC,NCI-H23,0.5,0
MT15896,X-2005,371809,1,1,NSCLC,NCI-H23,1.682,0.62
MT15897,X-2008,371810,1,1,NSCLC,NCI-H23,0.158,0
MT15898,X-2011,371811,1,1,NSCLC,NCI-H23,0.016,0
MT15899,X-2026,371812,1,1,NSCLC,NCI-H23,0.552,0.522
MT15900,X-2027,371813,1,1,NSCLC,NCI-H23,6.648,2.108
MT15901,X-2041,371814,1,1,NSCLC,NCI-H23,0.883,0.148
MT15902,X-2046,371815,1,1,NSCLC,NCI-H23,1.488,0.973
MT15903,X-2053,371816,1,1,NSCLC,NCI-H23,0.201,0.208
MT15904,X-2064,371817,1,1,NSCLC,NCI-H23,1.133,0.262
MT15905,X-2074,371818,1,1,NSCLC,NCI-H23,1.258,0.119
MT15906,X-2077,371819,1,1,NSCLC,NCI-H23,1.313,1.16
MT15907,X-2088,371820,1,1,NSCLC,NCI-H23,0.5,0
MT15908,X-2107,371821,1,1,NSCLC,NCI-H23,6.342,0.75
MT15909,X-2108,371822,1,1,NSCLC,NCI-H23,1.131,0.358
MT15910,X-2109,371823,1,1,NSCLC,NCI-H23,1.026,0.084
MT15911,X-2129,371824,1,1,NSCLC,NCI-H23,0.74,0.436
MT15912,X-2136,371825,1,1,NSCLC,NCI-H23,0.502,0.569
MT15913,X-2138,371826,1,1,NSCLC,NCI-H23,0.381,0
MT15914,X-2139,371827,1,1,NSCLC,NCI-H23,0.665,0.071
MT15915,X-2177,371828,1,1,NSCLC,NCI-H23,0.185,0
MT15916,X-2185,371829,1,1,NSCLC,NCI-H23,3.548,0.4
MT15917,X-2193,371830,1,1,NSCLC,NCI-H23,0.331,0
MT15918,X-2212,371831,1,1,NSCLC,NCI-H23,2.323,1.634
MT15919,X-2255 - hydroxyproline form of bradykinin,371832,1,1,NSCLC,NCI-H23,5.042,0.735
MT15920,X-2269,371833,1,1,NSCLC,NCI-H23,0.985,0.591
MT15921,X-2272,371834,1,1,NSCLC,NCI-H23,0.214,0
MT15922,X-2292,371835,1,1,NSCLC,NCI-H23,1.738,0.199
MT15923,X-2366,371836,1,1,NSCLC,NCI-H23,1.301,0.329
MT15924,X-2389,371837,1,1,NSCLC,NCI-H23,4.575,1.234
MT15925,X-2594,371838,1,1,NSCLC,NCI-H23,0.629,0.38
MT15926,X-2688,371839,1,1,NSCLC,NCI-H23,5.154,1.07
MT15927,X-2690,371840,1,1,NSCLC,NCI-H23,0.462,0.348
MT15928,X-2691,371841,1,1,NSCLC,NCI-H23,0.065,0
MT15929,X-2698,371842,1,1,NSCLC,NCI-H23,0.172,0
MT15930,X-2711,371843,1,1,NSCLC,NCI-H23,0.975,0.208
MT15931,X-2724,371844,1,1,NSCLC,NCI-H23,0.215,0
MT15932,X-2725,371845,1,1,NSCLC,NCI-H23,2.18,0.249
MT15933,X-2726,371846,1,1,NSCLC,NCI-H23,0.252,0
MT15934,X-2746,371847,1,1,NSCLC,NCI-H23,0.956,0.153
MT15935,X-2753,371848,1,1,NSCLC,NCI-H23,2.273,0.685
MT15936,X-2757,371849,1,1,NSCLC,NCI-H23,1.355,0.167
MT15937,X-2767,371850,1,1,NSCLC,NCI-H23,0.216,0
MT15938,X-2768,371851,1,1,NSCLC,NCI-H23,0.708,0.415
MT15939,X-2778,371852,1,1,NSCLC,NCI-H23,0.374,0.404
MT15940,X-2781,371853,1,1,NSCLC,NCI-H23,0.661,0.351
MT15941,X-2911,371854,1,1,NSCLC,NCI-H23,0.336,0.173
MT15942,X-3014,371855,1,1,NSCLC,NCI-H23,0.918,0.132
MT15943,X-3016,371856,1,1,NSCLC,NCI-H23,0.942,0.554
MT15944,X-3022,371857,1,1,NSCLC,NCI-H23,0.415,0
MT15945,X-3034,371858,1,1,NSCLC,NCI-H23,0.245,0.174
MT15946,X-3074,371859,1,1,NSCLC,NCI-H23,0.17,0.18
MT15947,X-3085 = Inositol 2,371860,1,1,NSCLC,NCI-H23,1.435,0.127
MT15948,X-3090,371861,1,1,NSCLC,NCI-H23,0.078,0
MT15949,X-3091,371862,1,1,NSCLC,NCI-H23,0.724,0.327
MT15950,X-3094,371863,1,1,NSCLC,NCI-H23,1.178,0.044
MT15951,X-3101,371864,1,1,NSCLC,NCI-H23,0.434,0.286
MT15952,X-3129,371865,1,1,NSCLC,NCI-H23,0.904,0.151
MT15953,X-3138,371866,1,1,NSCLC,NCI-H23,0.138,0
MT15954,X-3165,371867,1,1,NSCLC,NCI-H23,0.613,0.32
MT15955,X-3176 - possible creatine,371868,1,1,NSCLC,NCI-H23,6.344,0.387
MT15956,X-3178 - possible NH3 adduct of isobar 42,371869,1,1,NSCLC,NCI-H23,0.989,0.148
MT15957,X-3180,371870,1,1,NSCLC,NCI-H23,0.331,0
MT15958,X-3183 - possible gamma-L-glutamyl-L-phenylalanine,371871,1,1,NSCLC,NCI-H23,0.075,0
MT15959,X-3216,371872,1,1,NSCLC,NCI-H23,0.206,0
MT15960,X-3218,371873,1,1,NSCLC,NCI-H23,3.601,0.143
MT15961,X-3234,371874,1,1,NSCLC,NCI-H23,0.438,0
MT15962,X-3303,371875,1,1,NSCLC,NCI-H23,1.033,0.323
MT15963,X-3358,371876,1,1,NSCLC,NCI-H23,1.092,0.555
MT15964,X-3363,371877,1,1,NSCLC,NCI-H23,0.287,0
MT15965,X-3365,371878,1,1,NSCLC,NCI-H23,2.384,0.69
MT15966,X-3370,371879,1,1,NSCLC,NCI-H23,0.779,0.34
MT15967,X-3380,371880,1,1,NSCLC,NCI-H23,0.555,0.693
MT15968,X-3389,371881,1,1,NSCLC,NCI-H23,1.191,0.182
MT15969,X-3390,371882,1,1,NSCLC,NCI-H23,0.068,0
MT15970,X-3394,371883,1,1,NSCLC,NCI-H23,0.264,0
MT15971,X-3400,371884,1,1,NSCLC,NCI-H23,0.329,0
MT15972,X-3405,371885,1,1,NSCLC,NCI-H23,0.35,0.357
MT15973,X-3435,371886,1,1,NSCLC,NCI-H23,1.71,0.127
MT15974,X-3439,371887,1,1,NSCLC,NCI-H23,1.528,0.824
MT15975,X-3450,371888,1,1,NSCLC,NCI-H23,0.148,0
MT15976,X-3476,371889,1,1,NSCLC,NCI-H23,1.692,0.3
MT15977,X-3489,371890,1,1,NSCLC,NCI-H23,0.215,0
MT15978,X-3493,371891,1,1,NSCLC,NCI-H23,0.831,0.538
MT15979,X-3498,371892,1,1,NSCLC,NCI-H23,0.095,0
MT15980,X-3603,371893,1,1,NSCLC,NCI-H23,1.128,0.132
MT15981,X-3658,371894,1,1,NSCLC,NCI-H23,0.486,0
MT15982,X-3668,371895,1,1,NSCLC,NCI-H23,0.349,0
MT15983,X-3697,371896,1,1,NSCLC,NCI-H23,0.448,0
MT15984,X-3698,371897,1,1,NSCLC,NCI-H23,1.123,0.26
MT15985,X-3705,371898,1,1,NSCLC,NCI-H23,0.382,0
MT15986,X-3772,371899,1,1,NSCLC,NCI-H23,0.964,0.199
MT15987,X-3776,371900,1,1,NSCLC,NCI-H23,0.344,0
MT15988,X-3778,371901,1,1,NSCLC,NCI-H23,4.597,0.942
MT15989,X-3802,371902,1,1,NSCLC,NCI-H23,0.116,0
MT15990,X-3803,371903,1,1,NSCLC,NCI-H23,0.191,0
MT15991,X-3806,371904,1,1,NSCLC,NCI-H23,0.387,0
MT15992,X-3808,371905,1,1,NSCLC,NCI-H23,0.236,0
MT15993,X-3810,371906,1,1,NSCLC,NCI-H23,2.282,0.094
MT15994,X-3816,371907,1,1,NSCLC,NCI-H23,0.205,0
MT15995,X-3824,371908,1,1,NSCLC,NCI-H23,0.32,0
MT15996,X-3830,371909,1,1,NSCLC,NCI-H23,0.316,0
MT15997,X-3832 - possible phenol sulfate,371910,1,1,NSCLC,NCI-H23,0.218,0
MT15998,X-3833,371911,1,1,NSCLC,NCI-H23,0.738,0.461
MT15999,X-3843,371912,1,1,NSCLC,NCI-H23,0.437,0
MT16000,X-3888,371913,1,1,NSCLC,NCI-H23,0.239,0
MT16001,X-3893,371914,1,1,NSCLC,NCI-H23,0.297,0
MT16002,X-3951,371915,1,1,NSCLC,NCI-H23,0.385,0.245
MT16003,X-3952,371916,1,1,NSCLC,NCI-H23,1.051,0.067
MT16004,X-3955,371917,1,1,NSCLC,NCI-H23,0.38,0.104
MT16005,X-3992 - possible Cl adduct of Formate dimer,371918,1,1,NSCLC,NCI-H23,0.917,0.167
MT16006,X-3994,371919,1,1,NSCLC,NCI-H23,0.372,0.447
MT16007,X-3996,371920,1,1,NSCLC,NCI-H23,0.968,0.057
MT16008,X-3998,371921,1,1,NSCLC,NCI-H23,0.117,0
MT16009,X-4003,371922,1,1,NSCLC,NCI-H23,1.023,0.495
MT16010,X-4013,371923,1,1,NSCLC,NCI-H23,0.336,0
MT16011,X-4015,371924,1,1,NSCLC,NCI-H23,0.791,0.147
MT16012,X-4018,371925,1,1,NSCLC,NCI-H23,0.386,0.064
MT16013,X-4019,371926,1,1,NSCLC,NCI-H23,0.226,0.33
MT16014,X-4020,371927,1,1,NSCLC,NCI-H23,1.079,0.136
MT16015,X-4027,371928,1,1,NSCLC,NCI-H23,37.399,2.764
MT16016,X-4030 - possible glutethimide or securinine,371929,1,1,NSCLC,NCI-H23,0.304,0
MT16017,X-4032,371930,1,1,NSCLC,NCI-H23,1.235,1.104
MT16018,X-4043,371931,1,1,NSCLC,NCI-H23,0.92,0.119
MT16019,X-4046,371932,1,1,NSCLC,NCI-H23,0.497,0.377
MT16020,X-4051,371933,1,1,NSCLC,NCI-H23,0.5,0.101
MT16021,X-4053,371934,1,1,NSCLC,NCI-H23,2.281,0.245
MT16022,X-4058,371935,1,1,NSCLC,NCI-H23,0.678,0.437
MT16023,X-4075,371936,1,1,NSCLC,NCI-H23,1.475,0.298
MT16024,X-4096 - possible gamma-glu-gly-leu,371937,1,1,NSCLC,NCI-H23,1.77,0.458
MT16025,X-4116,371938,1,1,NSCLC,NCI-H23,0.734,0.104
MT16026,X-4133,371939,1,1,NSCLC,NCI-H23,0.77,0.199
MT16027,X-4231,371940,1,1,NSCLC,NCI-H23,0.614,0.407
MT16028,X-4238,371941,1,1,NSCLC,NCI-H23,1.66,0.35
MT16029,X-4251,371942,1,1,NSCLC,NCI-H23,0.408,0.063
MT16030,X-4271,371943,1,1,NSCLC,NCI-H23,0.338,0
MT16031,X-4354,371944,1,1,NSCLC,NCI-H23,0.969,0.092
MT16032,X-4362,371945,1,1,NSCLC,NCI-H23,1.763,0.183
MT16033,X-4407,371946,1,1,NSCLC,NCI-H23,0.424,0
MT16034,X-4429,371947,1,1,NSCLC,NCI-H23,0.221,0
MT16035,X-4432,371948,1,1,NSCLC,NCI-H23,0.294,0
MT16036,X-4503,371949,1,1,NSCLC,NCI-H23,0.489,0.443
MT16037,X-4510,371950,1,1,NSCLC,NCI-H23,0.261,0
MT16038,X-4514,371951,1,1,NSCLC,NCI-H23,0.261,0
MT16039,X-4516,371952,1,1,NSCLC,NCI-H23,1.302,0.18
